pipeline,dataset,model,cell,present
phase1,fracas,gpt-4o,zero-shot/en,True
phase1,fracas,gpt-4o,zero-shot/el,True
phase1,fracas,gpt-4o,few-shot/en,True
phase1,fracas,gpt-4o,few-shot/el,True
phase1,fracas,gpt-5.4,zero-shot/en,True
phase1,fracas,gpt-5.4,zero-shot/el,True
phase1,fracas,gpt-5.4,few-shot/en,True
phase1,fracas,gpt-5.4,few-shot/el,True
phase1,fracas,deepseek-r1,zero-shot/en,True
phase1,fracas,deepseek-r1,zero-shot/el,True
phase1,fracas,deepseek-r1,few-shot/en,True
phase1,fracas,deepseek-r1,few-shot/el,True
phase1,fracas,deepseek-v4-pro,zero-shot/en,True
phase1,fracas,deepseek-v4-pro,zero-shot/el,True
phase1,fracas,deepseek-v4-pro,few-shot/en,True
phase1,fracas,deepseek-v4-pro,few-shot/el,True
phase1,fracas,grok-4-20,zero-shot/en,True
phase1,fracas,grok-4-20,zero-shot/el,True
phase1,fracas,grok-4-20,few-shot/en,True
phase1,fracas,grok-4-20,few-shot/el,True
phase1,fracas,grok-4-20-reasoning,zero-shot/en,True
phase1,fracas,grok-4-20-reasoning,zero-shot/el,True
phase1,fracas,grok-4-20-reasoning,few-shot/en,True
phase1,fracas,grok-4-20-reasoning,few-shot/el,True
phase1,fracas,llama-3.3-70b,zero-shot/en,True
phase1,fracas,llama-3.3-70b,zero-shot/el,True
phase1,fracas,llama-3.3-70b,few-shot/en,True
phase1,fracas,llama-3.3-70b,few-shot/el,True
phase1,fracas,llama-4-maverick,zero-shot/en,True
phase1,fracas,llama-4-maverick,zero-shot/el,True
phase1,fracas,llama-4-maverick,few-shot/en,True
phase1,fracas,llama-4-maverick,few-shot/el,True
phase1,fracas,mistral-large-3,zero-shot/en,True
phase1,fracas,mistral-large-3,zero-shot/el,True
phase1,fracas,mistral-large-3,few-shot/en,True
phase1,fracas,mistral-large-3,few-shot/el,True
phase1,fracas-translated,gpt-4o,zero-shot/en,True
phase1,fracas-translated,gpt-4o,zero-shot/el,True
phase1,fracas-translated,gpt-4o,few-shot/en,True
phase1,fracas-translated,gpt-4o,few-shot/el,True
phase1,fracas-translated,gpt-5.4,zero-shot/en,True
phase1,fracas-translated,gpt-5.4,zero-shot/el,True
phase1,fracas-translated,gpt-5.4,few-shot/en,True
phase1,fracas-translated,gpt-5.4,few-shot/el,True
phase1,fracas-translated,deepseek-r1,zero-shot/en,True
phase1,fracas-translated,deepseek-r1,zero-shot/el,True
phase1,fracas-translated,deepseek-r1,few-shot/en,True
phase1,fracas-translated,deepseek-r1,few-shot/el,True
phase1,fracas-translated,deepseek-v4-pro,zero-shot/en,True
phase1,fracas-translated,deepseek-v4-pro,zero-shot/el,True
phase1,fracas-translated,deepseek-v4-pro,few-shot/en,True
phase1,fracas-translated,deepseek-v4-pro,few-shot/el,True
phase1,fracas-translated,grok-4-20,zero-shot/en,True
phase1,fracas-translated,grok-4-20,zero-shot/el,True
phase1,fracas-translated,grok-4-20,few-shot/en,True
phase1,fracas-translated,grok-4-20,few-shot/el,True
phase1,fracas-translated,grok-4-20-reasoning,zero-shot/en,True
phase1,fracas-translated,grok-4-20-reasoning,zero-shot/el,True
phase1,fracas-translated,grok-4-20-reasoning,few-shot/en,True
phase1,fracas-translated,grok-4-20-reasoning,few-shot/el,True
phase1,fracas-translated,llama-3.3-70b,zero-shot/en,True
phase1,fracas-translated,llama-3.3-70b,zero-shot/el,True
phase1,fracas-translated,llama-3.3-70b,few-shot/en,True
phase1,fracas-translated,llama-3.3-70b,few-shot/el,True
phase1,fracas-translated,llama-4-maverick,zero-shot/en,True
phase1,fracas-translated,llama-4-maverick,zero-shot/el,True
phase1,fracas-translated,llama-4-maverick,few-shot/en,True
phase1,fracas-translated,llama-4-maverick,few-shot/el,True
phase1,fracas-translated,mistral-large-3,zero-shot/en,True
phase1,fracas-translated,mistral-large-3,zero-shot/el,True
phase1,fracas-translated,mistral-large-3,few-shot/en,True
phase1,fracas-translated,mistral-large-3,few-shot/el,True
phase1,fracas-extended,gpt-4o,zero-shot/en,True
phase1,fracas-extended,gpt-4o,zero-shot/el,True
phase1,fracas-extended,gpt-4o,few-shot/en,True
phase1,fracas-extended,gpt-4o,few-shot/el,True
phase1,fracas-extended,gpt-5.4,zero-shot/en,True
phase1,fracas-extended,gpt-5.4,zero-shot/el,True
phase1,fracas-extended,gpt-5.4,few-shot/en,True
phase1,fracas-extended,gpt-5.4,few-shot/el,True
phase1,fracas-extended,deepseek-r1,zero-shot/en,True
phase1,fracas-extended,deepseek-r1,zero-shot/el,True
phase1,fracas-extended,deepseek-r1,few-shot/en,True
phase1,fracas-extended,deepseek-r1,few-shot/el,True
phase1,fracas-extended,deepseek-v4-pro,zero-shot/en,True
phase1,fracas-extended,deepseek-v4-pro,zero-shot/el,True
phase1,fracas-extended,deepseek-v4-pro,few-shot/en,True
phase1,fracas-extended,deepseek-v4-pro,few-shot/el,True
phase1,fracas-extended,grok-4-20,zero-shot/en,True
phase1,fracas-extended,grok-4-20,zero-shot/el,True
phase1,fracas-extended,grok-4-20,few-shot/en,True
phase1,fracas-extended,grok-4-20,few-shot/el,True
phase1,fracas-extended,grok-4-20-reasoning,zero-shot/en,True
phase1,fracas-extended,grok-4-20-reasoning,zero-shot/el,True
phase1,fracas-extended,grok-4-20-reasoning,few-shot/en,True
phase1,fracas-extended,grok-4-20-reasoning,few-shot/el,True
