tier,section,section_name,n_items,compilation_rate,proof_rate,accuracy
T0,1,Generalized Quantifiers,8640,0.7024305555555556,0.39537037037037037,0.5274305555555555
T0,2,Plurals,3564,0.7118406285072951,0.4351851851851852,0.49158249158249157
T0,3,Anaphora,3024,0.6980820105820106,0.4322089947089947,0.49404761904761907
T0,4,Ellipsis,5940,0.6920875420875421,0.43703703703703706,0.49915824915824913
T0,5,Adjectives,2484,0.715780998389694,0.4247181964573269,0.44484702093397743
T0,6,Comparatives,3348,0.6959378733572282,0.3718637992831541,0.4838709677419355
T0,7,Temporal Reference,7884,0.678209030948757,0.3197615423642821,0.4430492135971588
T0,8,Verbs,864,0.6944444444444444,0.36574074074074076,0.47337962962962965
T0,9,Attitudes,1404,0.6794871794871795,0.3696581196581197,0.48148148148148145
T1,1,Generalized Quantifiers,2160,0.6995370370370371,0.4115740740740741,0.6069444444444444
T1,2,Plurals,891,0.6801346801346801,0.5162738496071829,0.5173961840628507
T1,3,Anaphora,756,0.6812169312169312,0.5423280423280423,0.5357142857142857
T1,4,Ellipsis,1485,0.6666666666666666,0.48148148148148145,0.5144781144781144
T1,5,Adjectives,621,0.7133655394524959,0.499194847020934,0.3864734299516908
T1,6,Comparatives,837,0.6618876941457587,0.3763440860215054,0.45758661887694146
T1,7,Temporal Reference,1917,0.6452790818988002,0.3651538862806468,0.43088158581116326
T1,8,Verbs,216,0.7129629629629629,0.4722222222222222,0.5787037037037037
T1,9,Attitudes,351,0.7321937321937322,0.4843304843304843,0.6096866096866097
T2,1,Generalized Quantifiers,2160,0.7032407407407407,0.39490740740740743,0.6129629629629629
T2,2,Plurals,891,0.6790123456790124,0.5084175084175084,0.5196408529741863
T2,3,Anaphora,756,0.6693121693121693,0.5383597883597884,0.5158730158730159
T2,4,Ellipsis,1485,0.6922558922558922,0.49023569023569025,0.5454545454545454
T2,5,Adjectives,621,0.7230273752012882,0.5136876006441223,0.40096618357487923
T2,6,Comparatives,837,0.6678614097968937,0.3763440860215054,0.46833930704898447
T2,7,Temporal Reference,1917,0.5915492957746479,0.35472091810119977,0.38393322900365157
T2,8,Verbs,216,0.7314814814814815,0.48148148148148145,0.5925925925925926
T2,9,Attitudes,351,0.6837606837606838,0.4757834757834758,0.5441595441595442
