tier,category,n_items,share
T0,type_error,19528,0.25174356396075853
T0,uncategorised,17045,0.21973417901019712
T0,tactic_failure,12307,0.15865465186732156
T0,syntax_error,6514,0.08397468125974913
T0,empty_output,5142,0.06628765904784005
T0,unbound_identifier,3419,0.0440757499581029
T0,section_hypothesis,2045,0.026362944914981114
T0,timeout,32,0.00041252529940312747
T0,unterminated_proof,5,6.445707803173866e-05
T1,uncategorised,2079,0.22514619883040934
T1,type_error,2076,0.22482131254061077
T1,tactic_failure,1510,0.16352609919861383
T1,unbound_identifier,787,0.08522850335715833
T1,syntax_error,638,0.06909248429716267
T1,empty_output,312,0.03378817413905133
T1,section_hypothesis,252,0.02729044834307992
T1,timeout,2,0.00021659085986571366
T2,type_error,2060,0.22308858566168507
T2,uncategorised,2055,0.22254710851202078
T2,tactic_failure,1491,0.16146848602988953
T2,unbound_identifier,901,0.097574182369504
T2,syntax_error,632,0.06844271171756552
T2,section_hypothesis,289,0.03129737925059563
T2,empty_output,278,0.0301061295213342
T2,timeout,3,0.0003248862897985705
