dataset,model,tier,condition,n_items,compilation_rate,proof_rate,accuracy,accuracy_given_compiled,mean_attempts,n_compiled,n_proved,n_correct,path
fracas,deepseek-r1,T0,c1,342,0.8771929824561403,0.5701754385964912,0.5233918128654971,0.5966666666666667,1.7251461988304093,300,195,179,
fracas,deepseek-r1,T0,c2,342,0.8742690058479532,0.5935672514619883,0.47076023391812866,0.5384615384615384,1.8187134502923976,299,203,161,
fracas,deepseek-r1,T0,c3,342,0.8450292397660819,0.6081871345029239,0.6169590643274854,0.7301038062283737,1.7426900584795322,289,208,211,
fracas,deepseek-r1,T1,c1,342,0.8391812865497076,0.5730994152046783,0.5029239766081871,0.5993031358885017,1.8830409356725146,287,196,172,
fracas,deepseek-r1,T1,c2,342,0.827485380116959,0.5409356725146199,0.4590643274853801,0.5547703180212014,1.9181286549707601,283,185,157,
fracas,deepseek-r1,T1,c3,342,0.8421052631578947,0.6228070175438597,0.6169590643274854,0.7326388888888888,1.7280701754385965,288,213,211,
fracas,deepseek-r1,T2,c1,342,0.8508771929824561,0.5935672514619883,0.5029239766081871,0.5910652920962199,1.8011695906432748,291,203,172,
fracas,deepseek-r1,T2,c2,342,0.8450292397660819,0.5760233918128655,0.47076023391812866,0.5570934256055363,1.8859649122807018,289,197,161,
fracas,deepseek-r1,T2,c3,342,0.8538011695906432,0.6461988304093568,0.6052631578947368,0.708904109589041,1.780701754385965,292,221,207,
fracas,deepseek-v4-pro,T0,c1,342,0.7807017543859649,0.26900584795321636,0.4590643274853801,0.5880149812734082,1.605263157894737,267,92,157,
fracas,deepseek-v4-pro,T0,c2,342,0.8099415204678363,0.3333333333333333,0.4853801169590643,0.5992779783393501,1.5789473684210527,277,114,166,
fracas,deepseek-v4-pro,T0,c3,342,0.8011695906432749,0.4093567251461988,0.6257309941520468,0.781021897810219,1.654970760233918,274,140,214,
fracas,deepseek-v4-pro,T1,c1,342,0.7894736842105263,0.28362573099415206,0.4766081871345029,0.6037037037037037,1.5994152046783625,270,97,163,
fracas,deepseek-v4-pro,T1,c2,342,0.804093567251462,0.2982456140350877,0.49707602339181284,0.6181818181818182,1.6257309941520468,275,102,170,
fracas,deepseek-v4-pro,T1,c3,342,0.783625730994152,0.39473684210526316,0.6081871345029239,0.7761194029850746,1.6783625730994152,268,135,208,
fracas,deepseek-v4-pro,T2,c1,342,0.7573099415204678,0.2953216374269006,0.45321637426900585,0.5984555984555985,1.7017543859649122,259,101,155,
fracas,deepseek-v4-pro,T2,c2,342,0.7719298245614035,0.30409356725146197,0.4678362573099415,0.6060606060606061,1.6754385964912282,264,104,160,
fracas,deepseek-v4-pro,T2,c3,342,0.7719298245614035,0.39766081871345027,0.5994152046783626,0.7765151515151515,1.6871345029239766,264,136,205,
fracas,gpt-4o,T0,c1,342,0.8157894736842105,0.47076023391812866,0.5380116959064327,0.6594982078853047,1.6111111111111112,279,161,184,
fracas,gpt-4o,T0,c2,342,0.7982456140350878,0.52046783625731,0.5994152046783626,0.7509157509157509,1.713450292397661,273,178,205,
fracas,gpt-4o,T0,c3,342,0.8099415204678363,0.4444444444444444,0.7339181286549707,0.9061371841155235,1.628654970760234,277,152,251,
fracas,gpt-4o,T1,c1,342,0.8362573099415205,0.5233918128654971,0.5701754385964912,0.6818181818181818,1.6198830409356726,286,179,195,
fracas,gpt-4o,T1,c2,342,0.7719298245614035,0.49415204678362573,0.5789473684210527,0.75,1.7690058479532165,264,169,198,
fracas,gpt-4o,T1,c3,342,0.8128654970760234,0.45321637426900585,0.7397660818713451,0.9100719424460432,1.6637426900584795,278,155,253,
fracas,gpt-4o,T2,c1,342,0.7485380116959064,0.4269005847953216,0.5146198830409356,0.6875,1.760233918128655,256,146,176,
fracas,gpt-4o,T2,c2,342,0.7777777777777778,0.5116959064327485,0.5584795321637427,0.7180451127819549,1.7953216374269005,266,175,191,
fracas,gpt-4o,T2,c3,342,0.8070175438596491,0.43567251461988304,0.7397660818713451,0.9166666666666666,1.652046783625731,276,149,253,
fracas,gpt-5.4,T0,c1,342,0.9005847953216374,0.6257309941520468,0.6111111111111112,0.6785714285714286,1.786549707602339,308,214,209,
fracas,gpt-5.4,T0,c2,342,0.9181286549707602,0.6608187134502924,0.631578947368421,0.6878980891719745,1.7953216374269005,314,226,216,
fracas,gpt-5.4,T0,c3,342,0.935672514619883,0.6637426900584795,0.847953216374269,0.90625,1.394736842105263,320,227,290,
fracas,gpt-5.4,T1,c1,342,0.9210526315789473,0.6374269005847953,0.6432748538011696,0.6984126984126984,1.6871345029239766,315,218,220,
fracas,gpt-5.4,T1,c2,342,0.9152046783625731,0.6578947368421053,0.6081871345029239,0.6645367412140575,1.7222222222222223,313,225,208,
fracas,gpt-5.4,T1,c3,342,0.9619883040935673,0.7134502923976608,0.8771929824561403,0.9118541033434651,1.345029239766082,329,244,300,
fracas,gpt-5.4,T2,c1,342,0.9239766081871345,0.6257309941520468,0.5818713450292398,0.629746835443038,1.6461988304093567,316,214,199,
fracas,gpt-5.4,T2,c2,342,0.9122807017543859,0.6345029239766082,0.6228070175438597,0.6826923076923077,1.7222222222222223,312,217,213,
fracas,gpt-5.4,T2,c3,342,0.9502923976608187,0.672514619883041,0.8830409356725146,0.9292307692307692,1.3391812865497077,325,230,302,
fracas,grok-4-20,T0,c1,342,0.5847953216374269,0.38596491228070173,0.4269005847953216,0.73,2.1169590643274856,200,132,146,
fracas,grok-4-20,T0,c2,342,0.5409356725146199,0.3830409356725146,0.38596491228070173,0.7135135135135136,2.198830409356725,185,131,132,
fracas,grok-4-20,T0,c3,342,0.6842105263157895,0.4239766081871345,0.5906432748538012,0.8632478632478633,1.932748538011696,234,145,202,
fracas,grok-4-20,T1,c1,342,0.5701754385964912,0.3508771929824561,0.391812865497076,0.6871794871794872,2.1608187134502925,195,120,134,
fracas,grok-4-20,T1,c2,342,0.5087719298245614,0.32748538011695905,0.36257309941520466,0.7126436781609196,2.2222222222222223,174,112,124,
fracas,grok-4-20,T1,c3,342,0.6491228070175439,0.42105263157894735,0.564327485380117,0.8693693693693694,1.976608187134503,222,144,193,
fracas,grok-4-20,T2,c1,342,0.4853801169590643,0.34502923976608185,0.3304093567251462,0.6807228915662651,2.254385964912281,166,118,113,
fracas,grok-4-20,T2,c2,342,0.4649122807017544,0.32748538011695905,0.3567251461988304,0.7672955974842768,2.2660818713450293,159,112,122,
fracas,grok-4-20,T2,c3,342,0.6169590643274854,0.4152046783625731,0.5263157894736842,0.8530805687203792,1.9824561403508771,211,142,180,
fracas,grok-4-20-reasoning,T0,c1,342,0.9941520467836257,0.5906432748538012,0.7397660818713451,0.7441176470588236,1.0701754385964912,340,202,253,
fracas,grok-4-20-reasoning,T0,c2,342,0.9970760233918129,0.5409356725146199,0.7076023391812866,0.7096774193548387,1.0730994152046784,341,185,242,
fracas,grok-4-20-reasoning,T0,c3,342,0.9912280701754386,0.6812865497076024,0.9912280701754386,1.0,1.0789473684210527,339,233,339,
