dataset,model,n_joined,p1_accuracy,fol_accuracy,both_correct,p1_only,fol_only,neither,p1_only_rate,fol_only_rate,fol_undecided_rate
fracas,deepseek-r1,9234,0.6988304093567251,0.6111111111111112,3933,2520,1710,1071,0.2729044834307992,0.18518518518518517,0.35477582846003897
fracas,deepseek-v4-pro,9234,0.7309941520467836,0.594541910331384,4122,2628,1368,1116,0.28460038986354774,0.14814814814814814,0.14132553606237816
fracas,gpt-4o,9234,0.7251461988304093,0.6101364522417154,4140,2556,1494,1044,0.27680311890838205,0.1617933723196881,0.1267056530214425
fracas,gpt-5.4,9234,0.7573099415204678,0.6286549707602339,4743,2250,1062,1179,0.24366471734892786,0.11500974658869395,0.09551656920077972
fracas,grok-4-20,9234,0.716374269005848,0.601364522417154,4158,2457,1395,1224,0.26608187134502925,0.15107212475633527,0.1861598440545809
fracas,grok-4-20-reasoning,9234,0.7631578947368421,0.7446393762183235,5580,1467,1296,891,0.15886939571150097,0.14035087719298245,0.04191033138401559
fracas,llama-3.3-70b,9234,0.7134502923976608,0.5877192982456141,3726,2862,1701,945,0.30994152046783624,0.18421052631578946,0.23586744639376217
fracas,llama-4-maverick,9234,0.6988304093567251,0.6111111111111112,3852,2601,1791,990,0.28167641325536064,0.19395711500974658,0.18226120857699804
fracas,mistral-large-3,9234,0.6257309941520468,0.621832358674464,3393,2385,2349,1107,0.25828460038986356,0.2543859649122807,0.16374269005847952
fracas-extended,deepseek-r1,3834,0.5633802816901409,0.4287949921752739,693,1467,951,723,0.3826291079812207,0.24804381846635368,0.5845070422535211
fracas-extended,deepseek-v4-pro,3843,0.6557377049180327,0.4449648711943794,1221,1299,489,834,0.33801717408274784,0.12724434035909446,0.09992193598750976
fracas-extended,gpt-4o,3843,0.6346604215456675,0.4746291959406714,1296,1143,528,876,0.297423887587822,0.13739266198282593,0.10694769711163153
fracas-extended,gpt-5.4,3843,0.667447306791569,0.4746291959406714,1428,1137,396,882,0.29586260733801717,0.10304449648711944,0.08899297423887588
fracas-extended,grok-4-20,3843,0.639344262295082,0.4519906323185012,1185,1272,552,834,0.33099141295862605,0.14363778298204527,0.2419984387197502
fracas-extended,grok-4-20-reasoning,3843,0.6721311475409836,0.5792349726775956,1662,921,564,696,0.23965651834504292,0.14676034348165495,0.0156128024980484
fracas-extended,llama-3.3-70b,3843,0.6112412177985949,0.4301327088212334,873,1476,780,714,0.3840749414519906,0.2029664324746292,0.2107728337236534
fracas-extended,llama-4-maverick,3807,0.6122931442080378,0.44602048857368004,930,1401,768,708,0.3680063041765169,0.2017336485421592,0.1457840819542947
fracas-extended,mistral-large-3,3843,0.594847775175644,0.47306791569086654,1017,1269,801,756,0.33021077283372363,0.20843091334894615,0.1483216237314598
