criterion,score,n_items,fol_accuracy,fol_undecided_rate,p1_accuracy
phenomenon_id,0.0,8727,0.4644207631488484,0.15537985562048814,0.3795118597456171
phenomenon_id,1.0,83949,0.592431118893614,0.15295000536039738,0.687667512418254
phenomenon_id,2.0,157521,0.5249204867922372,0.19056506751480756,0.729921724722418
soundness,0.0,45498,0.4381511275220889,0.16939206118950284,0.03692469998681261
soundness,1.0,28452,0.4968367777309152,0.19095318431041755,0.46520455504006747
soundness,2.0,176247,0.5810141449216157,0.1763093839895147,0.9140751331937564
consistency,0.0,11799,0.6956521739130435,0.18459191456903126,0.024917365878464277
consistency,1.0,238398,0.5380288425238466,0.1763269826089145,0.7371076938564921
total,0.0,90,0.5333333333333333,0.03333333333333333,0.0
total,1.0,5937,0.3486609398686205,0.14855987872662962,0.05305709954522486
total,2.0,22473,0.4668268588973435,0.16379655586704045,0.07302095848351355
total,3.0,37200,0.5032258064516129,0.1832258064516129,0.26838709677419353
total,4.0,66633,0.6396380171986853,0.1554635090720814,0.8267975327540408
total,5.0,117864,0.5304673182651192,0.19066890653634697,0.9246843819995928
