dataset,model,n_items,n_correct,accuracy,n_undecided,undecided_rate,n_entailment,n_contradiction,n_unknown,mean_attempts,n_items_with_errors,error_rate,accuracy_decided
fracas,gpt-4o,1026,626,0.6101364522417154,130,0.1267056530214425,393,29,474,1.1413255360623782,98,0.09551656920077972,0.6439732142857143
fracas,gpt-5.4,1026,645,0.6286549707602339,98,0.09551656920077972,456,34,438,1.179337231968811,143,0.13937621832358674,0.6670258620689655
fracas,deepseek-r1,1026,627,0.6111111111111112,364,0.35477582846003897,394,35,233,1.8635477582846003,504,0.49122807017543857,0.7749244712990937
fracas,deepseek-v4-pro,1026,610,0.594541910331384,145,0.14132553606237816,405,34,442,1.209551656920078,132,0.1286549707602339,0.6356413166855845
fracas,grok-4-20,1026,617,0.601364522417154,191,0.1861598440545809,403,36,396,1.3021442495126705,178,0.17348927875243664,0.6718562874251497
fracas,grok-4-20-reasoning,1026,764,0.7446393762183235,43,0.04191033138401559,605,52,326,1.0321637426900585,31,0.030214424951267055,0.7619532044760936
fracas,llama-3.3-70b,1026,603,0.5877192982456141,242,0.23586744639376217,393,31,360,1.5769980506822612,380,0.37037037037037035,0.6696428571428571
fracas,llama-4-maverick,1026,627,0.6111111111111112,187,0.18226120857699804,426,46,367,1.3128654970760234,208,0.20272904483430798,0.6793802145411204
fracas,mistral-large-3,1026,638,0.621832358674464,168,0.16374269005847952,412,46,400,1.280701754385965,190,0.18518518518518517,0.6864801864801865
fracas-translated,gpt-4o,1026,576,0.5614035087719298,145,0.14132553606237816,385,28,468,1.3538011695906433,248,0.24171539961013644,0.5970488081725313
fracas-translated,gpt-5.4,1026,607,0.5916179337231969,148,0.1442495126705653,402,35,441,1.462962962962963,311,0.3031189083820663,0.6366742596810934
fracas-translated,deepseek-r1,1026,493,0.48050682261208577,562,0.5477582846003899,263,26,175,2.212475633528265,663,0.6461988304093568,0.6745689655172413
fracas-translated,deepseek-v4-pro,1026,603,0.5877192982456141,159,0.15497076023391812,410,32,425,1.269980506822612,173,0.16861598440545808,0.6262975778546713
fracas-translated,grok-4-20,1026,581,0.5662768031189084,258,0.25146198830409355,368,36,364,1.5935672514619883,356,0.3469785575048733,0.6432291666666666
fracas-translated,grok-4-20-reasoning,1026,745,0.7261208576998051,44,0.042884990253411304,577,55,350,1.0360623781676412,33,0.03216374269005848,0.7382892057026477
fracas-translated,llama-3.3-70b,1026,496,0.4834307992202729,357,0.347953216374269,310,32,327,1.8732943469785575,527,0.51364522417154,0.5844544095665172
fracas-translated,llama-4-maverick,1026,585,0.5701754385964912,173,0.16861598440545808,410,48,395,1.3333333333333333,219,0.2134502923976608,0.6271981242672919
fracas-translated,mistral-large-3,1026,600,0.5847953216374269,175,0.1705653021442495,413,44,394,1.2846003898635479,193,0.1881091617933723,0.6427732079905993
fracas-extended,gpt-4o,1281,608,0.4746291959406714,137,0.10694769711163153,346,99,699,1.444184231069477,378,0.29508196721311475,0.486013986013986
fracas-extended,gpt-5.4,1281,608,0.4746291959406714,114,0.08899297423887588,336,83,748,1.4184231069476971,354,0.27634660421545665,0.480719794344473
fracas-extended,deepseek-r1,1281,548,0.4277907884465261,749,0.5846994535519126,202,61,269,2.4847775175644027,1048,0.8181108508977362,0.5263157894736842
fracas-extended,deepseek-v4-pro,1281,570,0.4449648711943794,128,0.09992193598750976,331,82,740,1.3489461358313817,288,0.22482435597189696,0.4588031222896791
fracas-extended,grok-4-20,1281,579,0.4519906323185012,310,0.2419984387197502,269,57,645,1.679937548790008,517,0.40359094457455114,0.4963954685890834
fracas-extended,grok-4-20-reasoning,1281,742,0.5792349726775956,20,0.0156128024980484,416,196,649,1.029664324746292,35,0.0273224043715847,0.5884218873909596
fracas-extended,llama-3.3-70b,1281,551,0.4301327088212334,270,0.2107728337236534,314,95,602,1.659640905542545,521,0.4067135050741608,0.4559841740850643
fracas-extended,llama-4-maverick,1281,577,0.45042935206869633,191,0.14910226385636222,287,102,701,1.4371584699453552,347,0.27088212334113976,0.463302752293578
fracas-extended,mistral-large-3,1281,606,0.47306791569086654,190,0.1483216237314598,321,86,684,1.3801717408274785,295,0.2302888368462139,0.4867094408799267
fracas-multilabel,gpt-4o,2139,1169,0.5465170640486209,216,0.10098176718092566,711,111,1101,1.305750350631136,434,0.2028985507246377,0.5585023400936038
fracas-multilabel,gpt-5.4,2139,1203,0.5624123422159888,182,0.08508648901355774,718,105,1134,1.2987377279102383,456,0.2131837307152875,0.5748594787940725
fracas-multilabel,deepseek-r1,2139,984,0.4600280504908836,1218,0.5694249649368864,413,62,446,2.4352501168770453,1691,0.7905563347358578,0.6297502714440825
fracas-multilabel,deepseek-v4-pro,2139,1131,0.5287517531556802,256,0.11968209443665265,724,106,1053,1.2823749415614774,380,0.17765310892940628,0.5523101433882103
fracas-multilabel,grok-4-20,2139,1118,0.522674146797569,434,0.2028985507246377,618,71,1016,1.4992987377279103,647,0.3024777933613838,0.5648093841642229
fracas-multilabel,grok-4-20-reasoning,2139,1432,0.6694717157550257,58,0.027115474520804116,909,217,955,1.0378681626928472,71,0.03319308087891538,0.6809226333493513
fracas-multilabel,llama-3.3-70b,2139,1078,0.503973819541842,478,0.22346891070593736,628,125,908,1.6390836839644694,847,0.3959794296400187,0.5382299819385912
fracas-multilabel,llama-4-maverick,2139,1129,0.5278167367928939,335,0.1566152407667134,684,134,986,1.3576437587657784,475,0.22206638616175783,0.561529933481153
fracas-multilabel,mistral-large-3,2139,1162,0.5432445067788686,305,0.14258999532491817,711,130,993,1.297802711547452,393,0.18373071528751753,0.569247546346783
