dataset,gold,gold_total,pred_Entailment,frac_Entailment,pred_Contradiction,frac_Contradiction,pred_Unknown,frac_Unknown,pred_Undecided,frac_Undecided
fracas,Entailment,5481,3197,0.5832877212187557,17,0.0031016237912789638,1379,0.2515964240102171,888,0.1620142309797482
fracas,Contradiction,891,142,0.15937149270482603,286,0.32098765432098764,277,0.3108866442199775,186,0.20875420875420875
fracas,Unknown,2862,548,0.1914744933612858,40,0.013976240391334731,1780,0.6219426974143956,494,0.17260656883298392
fracas-extended,Entailment,4104,1589,0.3871832358674464,189,0.046052631578947366,1612,0.39278752436647174,714,0.1739766081871345
fracas-extended,Contradiction,3510,598,0.17037037037037037,596,0.1698005698005698,1663,0.4737891737891738,653,0.18603988603988603
fracas-extended,Unknown,3915,635,0.16219667943805874,76,0.019412515964240103,2462,0.6288633461047254,742,0.18952745849297573
fracas-multilabel,Entailment,8775,4389,0.5001709401709402,136,0.0154985754985755,2784,0.3172649572649573,1466,0.16706552706552708
fracas-multilabel,Contradiction,3321,578,0.17404396266184885,763,0.22975007527853056,1381,0.41583860283047275,599,0.18036735922914784
fracas-multilabel,Unknown,6345,996,0.15697399527186762,95,0.014972419227738377,3998,0.6301024428684003,1256,0.1979511426319937
fracas-translated,Entailment,5481,2799,0.5106732348111659,20,0.0036489691662105455,1527,0.27859879584017516,1135,0.20707900018244846
fracas-translated,Contradiction,891,140,0.15712682379349047,270,0.30303030303030304,248,0.2783389450056117,233,0.2615039281705948
fracas-translated,Unknown,2862,599,0.2092941998602376,46,0.01607267645003494,1564,0.546470999301188,653,0.22816212438853947
oyxoy,Entailment,8424,3272,0.38841405508072174,86,0.010208926875593542,3749,0.4450379867046534,1317,0.15633903133903135
oyxoy,Contradiction,6942,750,0.10803802938634399,1077,0.15514261019878997,4023,0.5795159896283492,1092,0.15730337078651685
oyxoy,Unknown,9048,751,0.08300176834659594,78,0.008620689655172414,6629,0.7326480990274093,1590,0.17572944297082227
