dataset,model,technique,language,n_reviewers,reviewers,n_items,n_shared_items
fracas,deepseek-r1,few-shot,el,1,dionisis_p,71,0
fracas,deepseek-r1,few-shot,en,2,dionisis_p|penny_kyriazi,222,200
fracas,deepseek-r1,zero-shot,en,1,penny_kyriazi,12,0
fracas,deepseek-v4-pro,few-shot,en,1,penny_kyriazi,11,0
fracas,deepseek-v4-pro,zero-shot,en,1,penny_kyriazi,12,0
fracas,gpt-4o,few-shot,en,1,penny_kyriazi,12,0
fracas,gpt-4o,zero-shot,en,1,penny_kyriazi,11,0
fracas,gpt-5.4,few-shot,en,1,penny_kyriazi,12,0
fracas,gpt-5.4,zero-shot,en,1,penny_kyriazi,11,0
fracas,grok-4-20,few-shot,en,1,penny_kyriazi,11,0
fracas,grok-4-20,zero-shot,en,1,penny_kyriazi,11,0
fracas,grok-4-20-reasoning,few-shot,en,1,penny_kyriazi,11,0
fracas,grok-4-20-reasoning,zero-shot,en,1,penny_kyriazi,12,0
fracas,llama-3.3-70b,few-shot,en,1,penny_kyriazi,12,0
fracas,llama-3.3-70b,zero-shot,en,1,penny_kyriazi,11,0
fracas,llama-4-maverick,few-shot,en,1,penny_kyriazi,12,0
fracas,llama-4-maverick,zero-shot,en,1,penny_kyriazi,12,0
fracas,mistral-large-3,few-shot,en,1,penny_kyriazi,12,0
fracas,mistral-large-3,zero-shot,en,1,penny_kyriazi,12,0
