dataset,model,section,section_name,n_items,phenomenon_id,soundness,consistency,total,accuracy
fracas,deepseek-r1,1,Generalized Quantifiers,80,1.3125,1.75,0.7625,3.825,0.675
fracas,deepseek-r1,2,Plurals,33,1.4545454545454546,1.606060606060606,0.9090909090909091,3.9696969696969697,0.7272727272727273
fracas,deepseek-r1,3,Anaphora,28,1.4285714285714286,1.5,0.9285714285714286,3.857142857142857,0.7857142857142857
fracas,deepseek-r1,4,Ellipsis,55,1.690909090909091,1.4181818181818182,0.9272727272727272,4.036363636363636,0.6363636363636364
fracas,deepseek-r1,5,Adjectives,23,1.6956521739130435,1.5217391304347827,0.9130434782608695,4.130434782608695,0.6521739130434783
fracas,deepseek-r1,6,Comparatives,31,1.903225806451613,1.3870967741935485,0.967741935483871,4.258064516129032,0.7096774193548387
fracas,deepseek-r1,7,Temporal Reference,71,1.9577464788732395,1.591549295774648,0.9577464788732394,4.507042253521127,0.676056338028169
fracas,deepseek-r1,8,Verbs,8,1.75,2.0,1.0,4.75,1.0
fracas,deepseek-r1,9,Attitudes,13,1.6153846153846154,1.8461538461538463,1.0,4.461538461538462,0.8461538461538461
fracas,deepseek-v4-pro,1,Generalized Quantifiers,80,1.25,1.675,0.925,3.85,0.7875
fracas,deepseek-v4-pro,2,Plurals,33,1.3636363636363635,1.6666666666666667,0.9393939393939394,3.9696969696969697,0.7575757575757576
fracas,deepseek-v4-pro,3,Anaphora,28,1.2142857142857142,1.4285714285714286,1.0,3.642857142857143,0.7142857142857143
fracas,deepseek-v4-pro,4,Ellipsis,55,1.4363636363636363,1.2727272727272727,0.9636363636363636,3.672727272727273,0.6181818181818182
fracas,deepseek-v4-pro,5,Adjectives,23,1.5217391304347827,1.5217391304347827,1.0,4.043478260869565,0.7391304347826086
fracas,deepseek-v4-pro,6,Comparatives,31,1.967741935483871,1.3870967741935485,1.0,4.354838709677419,0.7096774193548387
fracas,deepseek-v4-pro,7,Temporal Reference,71,1.9014084507042253,1.591549295774648,0.9859154929577465,4.47887323943662,0.7183098591549296
fracas,deepseek-v4-pro,8,Verbs,8,1.75,1.75,1.0,4.5,0.875
fracas,deepseek-v4-pro,9,Attitudes,13,1.5384615384615385,2.0,1.0,4.538461538461538,0.8461538461538461
fracas,gpt-4o,1,Generalized Quantifiers,80,1.0625,1.5625,0.9375,3.5625,0.775
fracas,gpt-4o,2,Plurals,33,1.1818181818181819,1.5757575757575757,0.9090909090909091,3.6666666666666665,0.696969696969697
fracas,gpt-4o,3,Anaphora,28,0.7857142857142857,1.5714285714285714,1.0,3.357142857142857,0.75
fracas,gpt-4o,4,Ellipsis,55,0.8181818181818182,1.0545454545454545,0.9454545454545454,2.8181818181818183,0.509090909090909
fracas,gpt-4o,5,Adjectives,23,1.4782608695652173,1.6521739130434783,0.9565217391304348,4.086956521739131,0.8260869565217391
fracas,gpt-4o,6,Comparatives,31,1.903225806451613,1.5806451612903225,1.0,4.483870967741935,0.7741935483870968
fracas,gpt-4o,7,Temporal Reference,71,1.8309859154929577,1.6338028169014085,0.971830985915493,4.436619718309859,0.7323943661971831
fracas,gpt-4o,8,Verbs,8,1.625,1.75,1.0,4.375,0.875
fracas,gpt-4o,9,Attitudes,13,1.3846153846153846,1.9230769230769231,1.0,4.3076923076923075,0.9230769230769231
fracas,gpt-5.4,1,Generalized Quantifiers,80,1.3625,1.8,0.975,4.1375,0.875
fracas,gpt-5.4,2,Plurals,33,1.4545454545454546,1.6363636363636365,0.9696969696969697,4.0606060606060606,0.7878787878787878
fracas,gpt-5.4,3,Anaphora,28,1.6428571428571428,1.5714285714285714,1.0,4.214285714285714,0.7142857142857143
fracas,gpt-5.4,4,Ellipsis,55,1.8727272727272728,1.5454545454545454,0.9818181818181818,4.4,0.6545454545454545
fracas,gpt-5.4,5,Adjectives,23,1.826086956521739,1.565217391304348,1.0,4.391304347826087,0.6521739130434783
fracas,gpt-5.4,6,Comparatives,31,1.967741935483871,1.5161290322580645,0.967741935483871,4.451612903225806,0.7096774193548387
fracas,gpt-5.4,7,Temporal Reference,71,1.9859154929577465,1.6901408450704225,0.971830985915493,4.647887323943662,0.7464788732394366
fracas,gpt-5.4,8,Verbs,8,1.625,1.75,0.875,4.25,0.75
fracas,gpt-5.4,9,Attitudes,13,1.6153846153846154,2.0,0.8461538461538461,4.461538461538462,0.8461538461538461
fracas,grok-4-20,1,Generalized Quantifiers,80,1.2375,1.5375,0.95,3.725,0.8
fracas,grok-4-20,2,Plurals,33,1.393939393939394,1.6363636363636365,0.9090909090909091,3.9393939393939394,0.7878787878787878
fracas,grok-4-20,3,Anaphora,28,1.4285714285714286,1.3214285714285714,0.9642857142857143,3.7142857142857144,0.6785714285714286
fracas,grok-4-20,4,Ellipsis,55,1.490909090909091,1.1272727272727272,0.9636363636363636,3.581818181818182,0.5636363636363636
fracas,grok-4-20,5,Adjectives,23,1.6521739130434783,1.3478260869565217,1.0,4.0,0.6956521739130435
fracas,grok-4-20,6,Comparatives,31,1.7741935483870968,1.5483870967741935,0.9354838709677419,4.258064516129032,0.7741935483870968
fracas,grok-4-20,7,Temporal Reference,71,1.8591549295774648,1.5774647887323943,0.9295774647887324,4.366197183098592,0.6619718309859155
fracas,grok-4-20,8,Verbs,8,1.5,1.625,1.0,4.125,0.875
fracas,grok-4-20,9,Attitudes,13,1.6923076923076923,1.9230769230769231,1.0,4.615384615384615,0.8461538461538461
fracas,grok-4-20-reasoning,1,Generalized Quantifiers,80,1.4875,1.7625,0.8125,4.0625,0.75
fracas,grok-4-20-reasoning,2,Plurals,33,1.4545454545454546,1.606060606060606,0.9393939393939394,4.0,0.7878787878787878
fracas,grok-4-20-reasoning,3,Anaphora,28,1.75,1.5714285714285714,0.9285714285714286,4.25,0.75
fracas,grok-4-20-reasoning,4,Ellipsis,55,1.8545454545454545,1.5454545454545454,0.9454545454545454,4.345454545454546,0.6909090909090909
fracas,grok-4-20-reasoning,5,Adjectives,23,1.8695652173913044,1.7826086956521738,0.9565217391304348,4.608695652173913,0.782608695652174
fracas,grok-4-20-reasoning,6,Comparatives,31,1.967741935483871,1.6774193548387097,1.0,4.645161290322581,0.8387096774193549
fracas,grok-4-20-reasoning,7,Temporal Reference,71,1.9154929577464788,1.732394366197183,0.9577464788732394,4.605633802816901,0.7464788732394366
fracas,grok-4-20-reasoning,8,Verbs,8,1.625,2.0,1.0,4.625,1.0
fracas,grok-4-20-reasoning,9,Attitudes,13,1.7692307692307692,1.8461538461538463,1.0,4.615384615384615,0.8461538461538461
