comparison,who,criterion,n_items,raw_agreement,cohen_kappa,quadratic_weighted_kappa,pabak,mean_abs_diff,severity_gap,bias_index,share_top_first,share_top_second,mean_first,mean_second,interpretation_nominal,dataset,model,technique,language,reviewer
judge_vs_human,penny_kyriazi,phenomenon_id,12,0.08333333333333333,0.0,0.0,-0.375,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,0.08333333333333333,2.0,1.0833333333333333,slight,fracas,deepseek-r1,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,soundness,12,0.8333333333333334,0.0,0.0,0.75,0.16666666666666666,0.16666666666666666,0.16666666666666663,1.0,0.8333333333333334,2.0,1.8333333333333333,slight,fracas,deepseek-r1,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,consistency,12,1.0,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,undefined,fracas,deepseek-r1,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,phenomenon_id,12,0.25,0.0,0.0,-0.125,0.75,0.75,0.75,1.0,0.25,2.0,1.25,slight,fracas,deepseek-v4-pro,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,soundness,12,0.9166666666666666,0.0,0.0,0.875,0.08333333333333333,0.08333333333333333,0.08333333333333337,1.0,0.9166666666666666,2.0,1.9166666666666667,slight,fracas,deepseek-v4-pro,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,consistency,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,almost perfect,fracas,deepseek-v4-pro,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,phenomenon_id,11,0.36363636363636365,0.0,0.0,0.045454545454545414,0.6363636363636364,0.6363636363636364,0.6363636363636364,1.0,0.36363636363636365,2.0,1.3636363636363635,slight,fracas,gpt-4o,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,soundness,11,0.9090909090909091,0.0,0.0,0.8636363636363635,0.09090909090909091,0.09090909090909091,0.09090909090909094,1.0,0.9090909090909091,2.0,1.9090909090909092,slight,fracas,gpt-4o,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,consistency,11,0.9090909090909091,0.0,0.0,0.8181818181818181,0.09090909090909091,-0.09090909090909091,0.09090909090909094,0.9090909090909091,1.0,0.9090909090909091,1.0,slight,fracas,gpt-4o,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,phenomenon_id,11,0.36363636363636365,-0.2222222222222221,-0.22222222222222232,0.045454545454545414,0.6363636363636364,0.2727272727272727,0.27272727272727276,0.7272727272727273,0.45454545454545453,1.7272727272727273,1.4545454545454546,worse than chance,fracas,gpt-5.4,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,soundness,11,0.8181818181818182,0.5217391304347827,0.6357615894039734,0.7272727272727273,0.2727272727272727,-0.2727272727272727,0.09090909090909094,0.7272727272727273,0.8181818181818182,1.4545454545454546,1.7272727272727273,moderate,fracas,gpt-5.4,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,consistency,11,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,almost perfect,fracas,gpt-5.4,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,phenomenon_id,11,0.5454545454545454,0.22535211267605623,0.22535211267605626,0.3181818181818181,0.45454545454545453,0.45454545454545453,0.4545454545454546,0.8181818181818182,0.36363636363636365,1.8181818181818181,1.3636363636363635,fair,fracas,grok-4-20,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,soundness,11,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8181818181818182,0.8181818181818182,1.6363636363636365,1.6363636363636365,almost perfect,fracas,grok-4-20,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,consistency,11,1.0,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,undefined,fracas,grok-4-20,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,phenomenon_id,12,0.75,0.0,0.0,0.625,0.25,0.25,0.25,1.0,0.75,2.0,1.75,slight,fracas,grok-4-20-reasoning,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,soundness,12,0.9166666666666666,0.0,0.0,0.875,0.08333333333333333,0.08333333333333333,0.08333333333333337,1.0,0.9166666666666666,2.0,1.9166666666666667,slight,fracas,grok-4-20-reasoning,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,consistency,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,almost perfect,fracas,grok-4-20-reasoning,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,phenomenon_id,11,0.6363636363636364,0.12000000000000012,0.12,0.4545454545454546,0.36363636363636365,0.18181818181818182,0.18181818181818188,0.8181818181818182,0.6363636363636364,1.8181818181818181,1.6363636363636365,slight,fracas,llama-3.3-70b,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,soundness,11,0.8181818181818182,0.42105263157894723,0.53781512605042,0.7272727272727273,0.2727272727272727,-0.09090909090909091,0.0,0.8181818181818182,0.8181818181818182,1.6363636363636365,1.7272727272727273,moderate,fracas,llama-3.3-70b,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,consistency,11,1.0,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,undefined,fracas,llama-3.3-70b,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,phenomenon_id,12,0.25,-0.2857142857142858,-0.2857142857142856,-0.125,0.75,0.4166666666666667,0.4166666666666667,0.75,0.3333333333333333,1.75,1.3333333333333333,worse than chance,fracas,llama-4-maverick,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,soundness,12,0.8333333333333334,0.68,0.8974358974358975,0.75,0.16666666666666666,0.16666666666666666,0.08333333333333326,0.6666666666666666,0.5833333333333334,1.4166666666666667,1.25,substantial,fracas,llama-4-maverick,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,consistency,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,almost perfect,fracas,llama-4-maverick,zero-shot,en,penny_kyriazi
judge_vs_human,penny_kyriazi,phenomenon_id,12,0.5,0.0,0.0,0.25,0.5,0.3333333333333333,0.33333333333333337,0.8333333333333334,0.5,1.8333333333333333,1.5,slight,fracas,mistral-large-3,zero-shot,en,penny_kyriazi
