dataset,model,technique,language,n_items,n_no_prediction,n_strict_correct,n_partial_correct,strict_accuracy,partial_accuracy,crosslingual,multilabel
fracas,gpt-4o,few-shot,el,342,0,234,234,0.6842105263157895,0.6842105263157895,True,False
fracas,gpt-4o,few-shot,en,342,0,248,248,0.7251461988304093,0.7251461988304093,False,False
fracas,gpt-4o,zero-shot,el,342,0,235,235,0.6871345029239766,0.6871345029239766,True,False
fracas,gpt-4o,zero-shot,en,342,0,248,248,0.7251461988304093,0.7251461988304093,False,False
fracas,gpt-5.4,few-shot,el,342,0,258,258,0.7543859649122807,0.7543859649122807,True,False
fracas,gpt-5.4,few-shot,en,342,0,267,267,0.7807017543859649,0.7807017543859649,False,False
fracas,gpt-5.4,zero-shot,el,342,0,266,266,0.7777777777777778,0.7777777777777778,True,False
fracas,gpt-5.4,zero-shot,en,342,0,259,259,0.7573099415204678,0.7573099415204678,False,False
fracas,deepseek-r1,few-shot,el,342,0,231,231,0.6754385964912281,0.6754385964912281,True,False
fracas,deepseek-r1,few-shot,en,342,0,240,240,0.7017543859649122,0.7017543859649122,False,False
fracas,deepseek-r1,zero-shot,el,342,0,212,212,0.6198830409356725,0.6198830409356725,True,False
fracas,deepseek-r1,zero-shot,en,342,0,239,239,0.6988304093567251,0.6988304093567251,False,False
fracas,deepseek-v4-pro,few-shot,el,342,0,230,230,0.672514619883041,0.672514619883041,True,False
fracas,deepseek-v4-pro,few-shot,en,342,0,254,254,0.7426900584795322,0.7426900584795322,False,False
fracas,deepseek-v4-pro,zero-shot,el,342,0,230,230,0.672514619883041,0.672514619883041,True,False
fracas,deepseek-v4-pro,zero-shot,en,342,0,250,250,0.7309941520467836,0.7309941520467836,False,False
fracas,grok-4-20,few-shot,el,342,0,225,225,0.6578947368421053,0.6578947368421053,True,False
fracas,grok-4-20,few-shot,en,342,0,254,254,0.7426900584795322,0.7426900584795322,False,False
fracas,grok-4-20,zero-shot,el,342,0,188,188,0.5497076023391813,0.5497076023391813,True,False
fracas,grok-4-20,zero-shot,en,342,0,245,245,0.716374269005848,0.716374269005848,False,False
fracas,grok-4-20-reasoning,few-shot,el,342,0,282,282,0.8245614035087719,0.8245614035087719,True,False
fracas,grok-4-20-reasoning,few-shot,en,342,0,286,286,0.8362573099415205,0.8362573099415205,False,False
fracas,grok-4-20-reasoning,zero-shot,el,342,0,250,250,0.7309941520467836,0.7309941520467836,True,False
fracas,grok-4-20-reasoning,zero-shot,en,342,0,261,261,0.7631578947368421,0.7631578947368421,False,False
fracas,llama-3.3-70b,few-shot,el,342,0,216,216,0.631578947368421,0.631578947368421,True,False
fracas,llama-3.3-70b,few-shot,en,342,0,237,237,0.6929824561403509,0.6929824561403509,False,False
fracas,llama-3.3-70b,zero-shot,el,342,0,213,213,0.6228070175438597,0.6228070175438597,True,False
fracas,llama-3.3-70b,zero-shot,en,342,0,244,244,0.7134502923976608,0.7134502923976608,False,False
fracas,llama-4-maverick,few-shot,el,342,3,245,245,0.716374269005848,0.716374269005848,True,False
fracas,llama-4-maverick,few-shot,en,342,1,250,250,0.7309941520467836,0.7309941520467836,False,False
fracas,llama-4-maverick,zero-shot,el,342,1,246,246,0.7192982456140351,0.7192982456140351,True,False
fracas,llama-4-maverick,zero-shot,en,342,0,239,239,0.6988304093567251,0.6988304093567251,False,False
fracas,mistral-large-3,few-shot,el,342,0,232,232,0.6783625730994152,0.6783625730994152,True,False
fracas,mistral-large-3,few-shot,en,342,0,241,241,0.7046783625730995,0.7046783625730995,False,False
fracas,mistral-large-3,zero-shot,el,342,0,208,208,0.6081871345029239,0.6081871345029239,True,False
fracas,mistral-large-3,zero-shot,en,342,0,214,214,0.6257309941520468,0.6257309941520468,False,False
fracas-translated,gpt-4o,few-shot,el,342,0,222,222,0.6491228070175439,0.6491228070175439,False,False
