dataset,model,zero_shot_en,few_shot_en,zero_shot_el,few_shot_el,fewshot_gain_en,fewshot_gain_el,en_minus_el_zeroshot,en_minus_el_fewshot
fracas,gpt-4o,0.7251461988304093,0.7251461988304093,0.6871345029239766,0.6842105263157895,0.0,-0.0029239766081871066,0.03801169590643272,0.040935672514619825
fracas,gpt-5.4,0.7573099415204678,0.7807017543859649,0.7777777777777778,0.7543859649122807,0.023391812865497075,-0.023391812865497075,-0.020467836257309968,0.02631578947368418
fracas,deepseek-r1,0.6988304093567251,0.7017543859649122,0.6198830409356725,0.6754385964912281,0.0029239766081871066,0.05555555555555558,0.07894736842105265,0.02631578947368418
fracas,deepseek-v4-pro,0.7309941520467836,0.7426900584795322,0.672514619883041,0.672514619883041,0.011695906432748537,0.0,0.05847953216374269,0.07017543859649122
fracas,grok-4-20,0.716374269005848,0.7426900584795322,0.5497076023391813,0.6578947368421053,0.02631578947368418,0.10818713450292405,0.16666666666666674,0.08479532163742687
fracas,grok-4-20-reasoning,0.7631578947368421,0.8362573099415205,0.7309941520467836,0.8245614035087719,0.07309941520467833,0.0935672514619883,0.032163742690058506,0.011695906432748537
fracas,llama-3.3-70b,0.7134502923976608,0.6929824561403509,0.6228070175438597,0.631578947368421,-0.020467836257309857,0.00877192982456132,0.09064327485380108,0.061403508771929904
fracas,llama-4-maverick,0.6988304093567251,0.7309941520467836,0.7192982456140351,0.716374269005848,0.032163742690058506,-0.0029239766081871066,-0.020467836257309968,0.014619883040935644
fracas,mistral-large-3,0.6257309941520468,0.7046783625730995,0.6081871345029239,0.6783625730994152,0.07894736842105265,0.07017543859649122,0.01754385964912286,0.026315789473684292
fracas-translated,gpt-4o,0.6988304093567251,0.6871345029239766,0.6549707602339181,0.6491228070175439,-0.011695906432748537,-0.005847953216374213,0.04385964912280704,0.03801169590643272
fracas-translated,gpt-5.4,0.7485380116959064,0.7514619883040936,0.7222222222222222,0.7485380116959064,0.0029239766081872176,0.02631578947368418,0.02631578947368418,0.0029239766081872176
fracas-translated,deepseek-r1,0.5877192982456141,0.6871345029239766,0.5935672514619883,0.652046783625731,0.09941520467836251,0.05847953216374269,-0.005847953216374213,0.03508771929824561
fracas-translated,deepseek-v4-pro,0.695906432748538,0.7046783625730995,0.6403508771929824,0.6403508771929824,0.00877192982456143,0.0,0.05555555555555558,0.06432748538011701
fracas-translated,grok-4-20,0.695906432748538,0.7134502923976608,0.5350877192982456,0.6637426900584795,0.01754385964912275,0.1286549707602339,0.16081871345029242,0.049707602339181256
fracas-translated,grok-4-20-reasoning,0.7309941520467836,0.7953216374269005,0.6871345029239766,0.8070175438596491,0.0643274853801169,0.11988304093567248,0.04385964912280704,-0.011695906432748537
fracas-translated,llama-3.3-70b,0.6345029239766082,0.6257309941520468,0.6023391812865497,0.6169590643274854,-0.00877192982456143,0.014619883040935644,0.032163742690058506,0.00877192982456143
fracas-translated,llama-4-maverick,0.6666666666666666,0.6812865497076024,0.6695906432748538,0.6900584795321637,0.014619883040935755,0.020467836257309857,-0.0029239766081872176,-0.00877192982456132
fracas-translated,mistral-large-3,0.6052631578947368,0.6608187134502924,0.5877192982456141,0.672514619883041,0.05555555555555558,0.08479532163742687,0.01754385964912275,-0.011695906432748537
fracas-extended,gpt-4o,0.6346604215456675,0.6463700234192038,0.6229508196721312,0.629976580796253,0.011709601873536313,0.007025761124121788,0.011709601873536313,0.016393442622950838
fracas-extended,gpt-5.4,0.667447306791569,0.6744730679156908,0.6651053864168618,0.6510538641686182,0.007025761124121788,-0.014051522248243575,0.0023419203747072626,0.023419203747072626
fracas-extended,deepseek-r1,0.5620608899297423,0.6042154566744731,0.5620608899297423,0.5737704918032787,0.042154566744730726,0.011709601873536313,0.0,0.030444964871194413
fracas-extended,deepseek-v4-pro,0.6557377049180327,0.6252927400468384,0.6065573770491803,0.5995316159250585,-0.030444964871194302,-0.007025761124121788,0.0491803278688524,0.025761124121779888
fracas-extended,grok-4-20,0.639344262295082,0.6510538641686182,0.550351288056206,0.5690866510538641,0.011709601873536202,0.0187353629976581,0.08899297423887598,0.08196721311475408
fracas-extended,grok-4-20-reasoning,0.6721311475409836,0.7142857142857143,0.6487119437939111,0.711943793911007,0.042154566744730726,0.06323185011709598,0.023419203747072515,0.0023419203747072626
fracas-extended,llama-3.3-70b,0.6112412177985949,0.5620608899297423,0.5456674473067916,0.5480093676814989,-0.049180327868852514,0.0023419203747072626,0.06557377049180324,0.014051522248243464
fracas-extended,llama-4-maverick,0.6065573770491803,0.629976580796253,0.629976580796253,0.6252927400468384,0.023419203747072626,-0.004683840749414525,-0.023419203747072626,0.004683840749414525
fracas-extended,mistral-large-3,0.594847775175644,0.6159250585480094,0.5573770491803278,0.5901639344262295,0.021077283372365363,0.032786885245901676,0.0374707259953162,0.025761124121779888
fracas-multilabel,gpt-4o,0.7082748948106592,0.6690042075736325,0.6900420757363254,0.6507713884992987,-0.03927068723702665,-0.03927068723702665,0.018232819074333828,0.018232819074333828
fracas-multilabel,gpt-5.4,0.7503506311360448,0.7559607293127629,0.7152875175315568,0.7391304347826086,0.005610098176718092,0.02384291725105181,0.035063113604487994,0.016830294530154277
fracas-multilabel,deepseek-r1,0.7391304347826086,0.7307152875175316,0.7251051893408135,0.758765778401122,-0.008415147265077083,0.033660589060308554,0.014025245441795176,-0.028050490883590462
fracas-multilabel,deepseek-v4-pro,0.7391304347826086,0.7489481065918654,0.7433380084151473,0.7321178120617111,0.009817671809256745,-0.011220196353436185,-0.004207573632538653,0.016830294530154277
fracas-multilabel,grok-4-20,0.6830294530154277,0.6577840112201964,0.6844319775596073,0.6605890603085554,-0.02524544179523136,-0.02384291725105192,-0.0014025245441795509,-0.0028050490883589907
fracas-multilabel,grok-4-20-reasoning,0.7601683029453016,0.758765778401122,0.7447405329593267,0.7517531556802244,-0.0014025245441795509,0.007012622720897643,0.015427769985974837,0.007012622720897643
fracas-multilabel,llama-3.3-70b,0.6143057503506312,0.6227208976157083,0.5638148667601683,0.5666199158485273,0.008415147265077083,0.0028050490883589907,0.05049088359046283,0.056100981767180924
fracas-multilabel,llama-4-maverick,0.6549789621318373,0.6690042075736325,0.664796633941094,0.6788218793828892,0.014025245441795287,0.014025245441795176,-0.009817671809256745,-0.009817671809256634
fracas-multilabel,mistral-large-3,0.6577840112201964,0.6493688639551192,0.4488078541374474,0.5357643758765779,-0.008415147265077194,0.08695652173913049,0.20897615708274897,0.11360448807854129
oyxoy,gpt-4o,0.7225929456625357,0.6453765490943756,0.680648236415634,0.669208770257388,-0.07721639656816015,-0.011439466158245981,0.041944709246901746,-0.023832221163012424
oyxoy,gpt-5.4,0.7464251668255482,0.7378455672068637,0.7187797902764538,0.7330791229742613,-0.008579599618684486,0.014299332697807476,0.02764537654909438,0.004766444232602418
oyxoy,deepseek-r1,0.7368922783603432,0.7340324118207817,0.7321258341277407,0.7540514775977121,-0.0028598665395614953,0.02192564346997139,0.004766444232602529,-0.020019065776930356
oyxoy,deepseek-v4-pro,0.7073403241182078,0.7025738798856054,0.7321258341277407,0.7149666348903718,-0.004766444232602418,-0.01715919923736886,-0.024785510009532885,-0.012392755004766443
oyxoy,grok-4-20,0.6882745471877979,0.6329837940896091,0.6758817921830315,0.6491897044804575,-0.05529075309818876,-0.02669208770257392,0.012392755004766443,-0.0162059103908484
oyxoy,grok-4-20-reasoning,0.7759771210676835,0.7721639656816015,0.765490943755958,0.7483317445185891,-0.0038131553860819567,-0.01715919923736897,0.010486177311725409,0.023832221163012424
oyxoy,llama-3.3-70b,0.6015252621544328,0.6101048617731173,0.5262154432793136,0.5386081982840801,0.008579599618684486,0.012392755004766554,0.07530981887511923,0.07149666348903716
oyxoy,llama-4-maverick,0.665395614871306,0.6224976167778837,0.6215443279313632,0.6120114394661582,-0.04289799809342232,-0.009532888465204947,0.04385128693994289,0.01048617731172552
oyxoy,mistral-large-3,0.6472831267874166,0.6205910390848427,0.444232602478551,0.5004766444232602,-0.02669208770257392,0.05624404194470922,0.2030505243088656,0.12011439466158247
