dataset,gold,pred_Entailment,frac_Entailment,pred_Contradiction,frac_Contradiction,pred_Unknown,frac_Unknown,gold_total
fracas,Entailment,1557.0,0.8522167487684729,112.0,0.06130268199233716,158.0,0.08648056923918993,1827
fracas,Contradiction,24.0,0.08080808080808081,268.0,0.9023569023569024,5.0,0.016835016835016835,297
fracas,Unknown,256.0,0.26834381551362685,324.0,0.33962264150943394,374.0,0.3920335429769392,954
fracas,AMBIGUOUS_OR_MISSING,,,,,,,0
fracas-translated,Entailment,1494.0,0.8181818181818182,153.0,0.08378970427163199,179.0,0.09802847754654984,1826
fracas-translated,Contradiction,26.0,0.08754208754208755,264.0,0.8888888888888888,7.0,0.02356902356902357,297
fracas-translated,Unknown,306.0,0.32075471698113206,332.0,0.3480083857442348,316.0,0.3312368972746331,954
fracas-translated,AMBIGUOUS_OR_MISSING,,,,,,,1
fracas-extended,Entailment,890.0,0.652014652014652,164.0,0.12014652014652015,311.0,0.22783882783882783,1365
fracas-extended,Contradiction,125.0,0.10683760683760683,927.0,0.7923076923076923,118.0,0.10085470085470086,1170
fracas-extended,Unknown,224.0,0.17191097467382963,486.0,0.37298541826554105,593.0,0.4551036070606293,1303
fracas-extended,AMBIGUOUS_OR_MISSING,,,,,,,5
fracas-multilabel,Entailment,2235.0,0.7836605890603086,97.0,0.034011220196353435,520.0,0.182328190743338,2852
fracas-multilabel,Contradiction,51.0,0.048113207547169815,916.0,0.8641509433962264,93.0,0.08773584905660377,1060
fracas-multilabel,Unknown,421.0,0.2132725430597771,213.0,0.10790273556231003,1340.0,0.6788247213779128,1974
fracas-multilabel,AMBIGUOUS_OR_MISSING,,,,,,,531
oyxoy,Entailment,2513.0,0.882683526519143,64.0,0.02247980330172111,270.0,0.09483667017913593,2847
oyxoy,Contradiction,64.0,0.028082492321193506,2013.0,0.8832821412900395,202.0,0.088635366388767,2279
oyxoy,Unknown,512.0,0.17588457574716593,370.0,0.12710408794228786,2029.0,0.6970113363105462,2911
oyxoy,AMBIGUOUS_OR_MISSING,,,,,,,1404
