dataset,model,n_scored,n_correct,n_correct_phen0,n_correct_phen_lt2,rfwr_rate_phen0,rfwr_rate_phen_lt2,n_incorrect_phen2,mean_phen_correct,mean_phen_incorrect
fracas,deepseek-r1,342,239,3,86,0.012552301255230125,0.3598326359832636,71,1.6276150627615062,1.6407766990291262
fracas,deepseek-v4-pro,342,250,6,123,0.024,0.492,67,1.484,1.6521739130434783
fracas,gpt-4o,342,248,22,146,0.08870967741935484,0.5887096774193549,42,1.3225806451612903,1.2446808510638299
fracas,gpt-5.4,342,259,1,84,0.003861003861003861,0.32432432432432434,69,1.6718146718146718,1.819277108433735
fracas,grok-4-20,342,245,5,119,0.02040816326530612,0.4857142857142857,66,1.493877551020408,1.6494845360824741
fracas,grok-4-20-reasoning,342,261,0,71,0.0,0.2720306513409962,64,1.7279693486590038,1.7654320987654322
fracas,llama-3.3-70b,342,244,22,174,0.09016393442622951,0.7131147540983607,37,1.1967213114754098,1.2142857142857142
fracas,llama-4-maverick,342,239,14,144,0.058577405857740586,0.602510460251046,55,1.3389121338912133,1.4077669902912622
fracas,mistral-large-3,342,214,9,127,0.04205607476635514,0.5934579439252337,70,1.3644859813084111,1.4921875
fracas-multilabel,deepseek-r1,712,527,0,110,0.0,0.20872865275142316,94,1.7912713472485768,1.4594594594594594
fracas-multilabel,deepseek-v4-pro,713,527,0,119,0.0,0.22580645161290322,100,1.7741935483870968,1.478494623655914
fracas-multilabel,gpt-4o,713,505,2,180,0.0039603960396039604,0.3564356435643564,80,1.6396039603960395,1.2259615384615385
fracas-multilabel,gpt-5.4,713,535,0,70,0.0,0.1308411214953271,121,1.8691588785046729,1.651685393258427
fracas-multilabel,grok-4-20,713,487,0,123,0.0,0.25256673511293637,124,1.7474332648870636,1.4823008849557522
fracas-multilabel,grok-4-20-reasoning,713,542,0,77,0.0,0.14206642066420663,96,1.8579335793357934,1.543859649122807
fracas-multilabel,llama-3.3-70b,713,438,3,184,0.00684931506849315,0.4200913242009132,92,1.5730593607305936,1.2254545454545454
fracas-multilabel,llama-4-maverick,711,467,0,145,0.0,0.31049250535331907,120,1.689507494646681,1.4385245901639345
fracas-multilabel,mistral-large-3,713,469,0,155,0.0,0.3304904051172708,124,1.6695095948827292,1.4180327868852458
fracas-translated,deepseek-r1,342,201,5,87,0.024875621890547265,0.43283582089552236,85,1.5422885572139304,1.5460992907801419
fracas-translated,deepseek-v4-pro,342,238,3,114,0.012605042016806723,0.4789915966386555,59,1.5084033613445378,1.4711538461538463
fracas-translated,gpt-4o,342,239,23,143,0.09623430962343096,0.5983263598326359,47,1.3054393305439331,1.2524271844660195
fracas-translated,gpt-5.4,342,256,2,82,0.0078125,0.3203125,58,1.671875,1.6046511627906976
fracas-translated,grok-4-20,342,238,3,124,0.012605042016806723,0.5210084033613446,67,1.4663865546218486,1.5384615384615385
fracas-translated,grok-4-20-reasoning,342,250,0,77,0.0,0.308,71,1.692,1.7282608695652173
fracas-translated,llama-3.3-70b,342,217,29,157,0.1336405529953917,0.7235023041474654,52,1.1428571428571428,1.192
fracas-translated,llama-4-maverick,341,228,16,137,0.07017543859649122,0.6008771929824561,54,1.3289473684210527,1.3097345132743363
fracas-translated,mistral-large-3,342,207,16,131,0.07729468599033816,0.6328502415458938,70,1.289855072463768,1.4074074074074074
oyxoy,deepseek-r1,1043,773,0,127,0.0,0.16429495472186287,171,1.8357050452781372,1.6037037037037036
oyxoy,deepseek-v4-pro,1048,742,2,148,0.0026954177897574125,0.19946091644204852,185,1.797843665768194,1.5751633986928104
oyxoy,gpt-4o,1048,758,6,219,0.0079155672823219,0.28891820580474936,168,1.7031662269129288,1.5
oyxoy,gpt-5.4,1047,783,0,67,0.0,0.08556832694763729,177,1.9144316730523627,1.6515151515151516
oyxoy,grok-4-20,1048,722,2,149,0.002770083102493075,0.20637119113573407,199,1.790858725761773,1.5797546012269938
oyxoy,grok-4-20-reasoning,1048,814,1,110,0.0012285012285012285,0.13513513513513514,144,1.8636363636363635,1.5811965811965811
oyxoy,llama-3.3-70b,1048,631,3,227,0.004754358161648178,0.35974643423137875,186,1.635499207606973,1.3573141486810552
oyxoy,llama-4-maverick,1045,698,4,174,0.0057306590257879654,0.2492836676217765,202,1.7449856733524356,1.5475504322766571
oyxoy,mistral-large-3,1049,679,3,200,0.004418262150220913,0.29455081001472755,220,1.7010309278350515,1.5405405405405406
